Dates,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
2006-01-29 19:25:00,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Sunday,MISSION,NONE,19TH ST / GUERRERO ST,-122.423643957485,37.7599667312465
2006-03-09 08:50:00,KIDNAPPING,FALSE IMPRISONMENT,Thursday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403404791479,37.775420706711
2010-12-14 14:03:00,ASSAULT,BATTERY,Tuesday,TENDERLOIN,NONE,100 Block of EDDY ST,-122.410157073911,37.7842973843312
2012-02-26 07:00:00,TRESPASS,TRESPASSING,Sunday,TENDERLOIN,NONE,400 Block of ELLIS ST,-122.413631253258,37.7848053746211
2014-05-13 17:30:00,VEHICLE THEFT,STOLEN TRUCK,Tuesday,INGLESIDE,NONE,500 Block of CARTER ST,-122.423628041297,37.70880618460679
2012-01-14 17:45:00,NON-CRIMINAL,"AIDED CASE, INJURED PERSON",Saturday,BAYVIEW,NONE,600 Block of JAMESTOWN AV,-122.387833652325,37.7131072321423
2009-04-30 15:30:00,LARCENY/THEFT,GRAND THEFT FROM PERSON,Thursday,SOUTHERN,NONE,400 Block of 10TH ST,-122.410541166987,37.7709130566165
2007-08-09 22:00:00,SECONDARY CODES,PREJUDICE-BASED INCIDENT,Thursday,BAYVIEW,NONE,WOOLSEY ST / SOMERSET ST,-122.406553945297,37.7241937958394
2004-09-30 02:19:00,OTHER OFFENSES,PAROLE VIOLATION,Thursday,NORTHERN,"ARREST, BOOKED",GOLDEN GATE AV / VAN NESS AV,-122.420441315944,37.7810301390636
2005-07-26 21:13:00,BURGLARY,"BURGLARY OF STORE, FORCIBLE ENTRY",Tuesday,CENTRAL,NONE,1600 Block of THE EMBARCADERONORTH ST,-122.410774214375,37.8084350175869
2015-03-06 08:50:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Friday,TARAVAL,NONE,LAGUNAHONDA BL / DEWEY BL,-122.459172404971,37.7472866827895
2004-08-03 20:15:00,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Tuesday,SOUTHERN,NONE,300 Block of MAIN ST,-122.391024911564,37.7887786674397
2008-02-18 15:20:00,OTHER OFFENSES,CONSPIRACY,Monday,TENDERLOIN,"ARREST, BOOKED",0 Block of UNITEDNATIONS PZ,-122.41431222924,37.77983391835871
2014-07-22 07:00:00,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Tuesday,BAYVIEW,NONE,CESAR CHAVEZ ST / EVANS AV,-122.397289683816,37.7496837059316
2005-04-09 08:30:00,ASSAULT,THREATS AGAINST LIFE,Saturday,RICHMOND,"ARREST, BOOKED",2100 Block of ANZA ST,-122.471109428157,37.7787211075625
2010-11-03 15:46:00,WEAPON LAWS,POSS OF LOADED FIREARM,Wednesday,SOUTHERN,JUVENILE BOOKED,6TH ST / MARKET ST,-122.41029351969,37.7822305870036
2004-11-10 18:00:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,NORTHERN,NONE,900 Block of GEARY ST,-122.418940110957,37.7860492230028
2009-09-01 00:15:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Tuesday,TARAVAL,NONE,1300 Block of 29TH AV,-122.487841263089,37.7621382641819
2005-12-03 05:00:00,MISSING PERSON,MISSING JUVENILE,Saturday,BAYVIEW,LOCATED,100 Block of DAKOTA ST,-122.395635436168,37.7535645746594
2011-11-16 00:01:00,FRAUD,"CREDIT CARD, THEFT OF",Wednesday,CENTRAL,NONE,1100 Block of MASON ST,-122.411299704688,37.7938537797836
2010-12-17 21:00:00,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Friday,SOUTHERN,NONE,800 Block of FOLSOM ST,-122.402246029097,37.7810888153345
2003-05-13 19:55:00,OTHER OFFENSES,TRAFFIC VIOLATION,Tuesday,NORTHERN,"ARREST, CITED",FRANKLIN ST / MCALLISTER ST,-122.421893134474,37.779891233591
2006-03-23 11:15:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Thursday,CENTRAL,NONE,GEARY ST / LEAVENWORTH ST,-122.414809966357,37.7865194111614
2009-03-07 12:48:00,LIQUOR LAWS,POSSESSION OF ALCOHOL BY MINOR,Saturday,BAYVIEW,"ARREST, CITED",CORTLAND AV / HILTON ST,-122.407644632729,37.73960563912679
2004-11-26 20:35:00,OTHER OFFENSES,TRAFFIC VIOLATION,Friday,SOUTHERN,"ARREST, CITED",MISSION ST / 5TH ST,-122.40648197275,37.7827317884658
2008-10-01 08:38:00,WARRANTS,WARRANT ARREST,Wednesday,TENDERLOIN,"ARREST, BOOKED",100 Block of HYDE ST,-122.415669661443,37.7821198488931
2009-08-19 02:16:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Wednesday,MISSION,"ARREST, BOOKED",MISSION ST / SYCAMORE ST,-122.41944531067,37.7627134327476
2004-11-14 18:00:00,NON-CRIMINAL,LOST PROPERTY,Sunday,CENTRAL,NONE,1000 Block of STOCKTON ST,-122.408236208765,37.7953821757057
2003-02-06 18:50:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Thursday,INGLESIDE,"ARREST, BOOKED",0 Block of PHELAN AV,-122.452428220398,37.725717254655706
2011-03-09 23:24:00,OTHER OFFENSES,EVADING A POLICE OFFICER RECKLESSLY,Wednesday,BAYVIEW,"ARREST, BOOKED",1500 Block of INGALLS ST,-122.383774149383,37.7294505411094
2006-10-16 22:35:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,TENDERLOIN,"ARREST, BOOKED",500 Block of EDDY ST,-122.416710733848,37.7833570390935
2012-05-14 12:15:00,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS WITH BB GUN",Monday,CENTRAL,NONE,1100 Block of UNION ST,-122.418648752342,37.7993058366445
2003-10-30 20:30:00,ASSAULT,BATTERY,Thursday,INGLESIDE,DISTRICT ATTORNEY REFUSES TO PROSECUTE,SUNNYDALE AV / REY ST,-122.412280369999,37.7108662317068
2012-03-10 23:15:00,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Saturday,TENDERLOIN,NONE,400 Block of ELLIS ST,-122.413609328985,37.784696907904
2004-03-31 22:15:00,FORGERY/COUNTERFEITING,"COUNTERFEITING, POSSESSION COINS OR NOTES",Wednesday,TENDERLOIN,NOT PROSECUTED,500 Block of EDDY ST,-122.416732163096,37.783465567448
2005-07-28 03:55:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,INGLESIDE,NONE,3200 Block of MISSION ST,-122.420526309078,37.744725471365705
2010-04-24 23:25:00,OTHER OFFENSES,"PERMIT VIOLATION, POLICE (GENERAL)",Saturday,NORTHERN,"ARREST, CITED",GREENWICH ST / FILLMORE ST,-122.435870220186,37.7989514142851
2009-12-12 20:25:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Saturday,MISSION,"ARREST, BOOKED",2000 Block of MISSION ST,-122.41965834371,37.7642205603745
2004-10-30 04:29:00,ASSAULT,BATTERY,Saturday,NORTHERN,"ARREST, BOOKED",700 Block of HAYES ST,-122.428760609879,37.7762012011279
2011-02-12 12:30:00,FRAUD,"CREDIT CARD, THEFT BY USE OF",Saturday,CENTRAL,NONE,GRANT AV / GREEN ST,-122.4073989596,37.7997037900191
2006-08-23 23:45:00,PROSTITUTION,SOLICITS TO VISIT HOUSE OF PROSTITUTION,Wednesday,CENTRAL,"ARREST, CITED",CALIFORNIA ST / HYDE ST,-122.417392830334,37.7909741243591
2011-11-15 08:00:00,OTHER OFFENSES,FALSE PERSONATION,Tuesday,SOUTHERN,NONE,6TH ST / MISSION ST,-122.408710606663,37.78097067220529
2004-02-16 23:00:00,VEHICLE THEFT,STOLEN TRUCK,Monday,CENTRAL,NONE,1000 Block of LEAVENWORTH ST,-122.415588123596,37.7907480766738
2015-02-20 23:45:00,MISSING PERSON,MISSING ADULT,Friday,CENTRAL,NONE,700 Block of GEARY ST,-122.415654629547,37.7864672409674
2013-10-30 19:17:00,ASSAULT,BATTERY,Wednesday,SOUTHERN,NONE,4TH ST / MARKET ST,-122.405832474482,37.7857446545609
2005-07-27 20:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,INGLESIDE,NONE,200 Block of BROOKDALE AV,-122.423115904861,37.71041463661261
2003-06-28 19:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Saturday,MISSION,NONE,HARRISON ST / 22ND ST,-122.412199182903,37.7558320631428
2013-10-30 09:05:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,BAYVIEW,"ARREST, CITED",LANE ST / OAKDALE AV,-122.388483091972,37.733535966227606
2013-05-19 13:00:00,NON-CRIMINAL,LOST PROPERTY,Sunday,PARK,NONE,FULTON ST / DIVISADERO ST,-122.438180582321,37.77685569004471
2003-12-23 05:30:00,FRAUD,FRAUDULENT CREDIT APPLICATION,Tuesday,BAYVIEW,NONE,2500 Block of SAN BRUNO AV,-122.404280402051,37.7294531060335
2005-12-01 09:00:00,VEHICLE THEFT,STOLEN TRUCK,Thursday,NORTHERN,NONE,LOMBARD ST / BUCHANAN ST,-122.432764365584,37.8002576984048
2003-09-07 04:50:00,ASSAULT,BATTERY,Sunday,CENTRAL,NONE,800 Block of GEARY ST,-122.417295322526,37.7862578545865
2004-04-16 17:56:00,OTHER OFFENSES,AID OR HARBOR FELON,Friday,INGLESIDE,"ARREST, BOOKED",0 Block of OCEAN AV,-122.435940703509,37.7237904510244
2003-06-11 00:14:00,MISSING PERSON,MISSING JUVENILE,Wednesday,NORTHERN,LOCATED,400 Block of FULTON ST,-122.425839480353,37.7784863750012
2004-05-30 21:00:00,LARCENY/THEFT,PETTY THEFT FROM UNLOCKED AUTO,Sunday,RICHMOND,NONE,3600 Block of CLAY ST,-122.452952489795,37.7882766632231
2004-07-05 11:00:00,VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Monday,TENDERLOIN,NONE,0 Block of GRANT AV,-122.404997416043,37.7871963336348
2012-07-23 14:09:00,BURGLARY,"BURGLARY OF STORE, UNLAWFUL ENTRY",Monday,SOUTHERN,"ARREST, BOOKED",800 Block of MARKET ST,-122.407633520742,37.7841893501425
2008-11-12 16:27:00,NON-CRIMINAL,AIDED CASE,Wednesday,INGLESIDE,NONE,100 Block of BROOKDALE AV,-122.423115904861,37.71041463661261
2010-12-29 17:25:00,LARCENY/THEFT,PETTY THEFT WITH PRIOR,Wednesday,SOUTHERN,NONE,800 Block of MARKET ST,-122.406520987144,37.7850629421661
2007-02-25 11:40:00,BURGLARY,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",Sunday,BAYVIEW,"ARREST, BOOKED",1600 Block of KIRKWOOD AV,-122.390952930587,37.7386625599684
2007-03-20 10:47:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Tuesday,TENDERLOIN,"ARREST, BOOKED",300 Block of TAYLOR ST,-122.411302813025,37.7855355791102
2006-08-09 19:05:00,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Wednesday,TENDERLOIN,"ARREST, BOOKED",200 Block of HYDE ST,-122.415721688006,37.7830679886919
2008-09-02 13:00:00,ASSAULT,THREATS AGAINST LIFE,Tuesday,MISSION,NONE,3300 Block of CESAR CHAVEZ ST,-122.417067044038,37.748285429414
2006-05-03 18:30:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,NORTHERN,NONE,GROVE ST / POLK ST,-122.418229899721,37.7784895366813
2010-08-23 12:30:00,NON-CRIMINAL,FIRE REPORT,Monday,PARK,NONE,1300 Block of HAIGHT ST,-122.444524277297,37.7703704336439
2013-05-04 03:05:00,ASSAULT,BATTERY,Saturday,TARAVAL,"ARREST, BOOKED",3600 Block of ORTEGA ST,-122.502602943274,37.7511597552502
2011-10-31 16:35:00,ASSAULT,AGGRAVATED ASSAULT WITH A GUN,Monday,MISSION,NONE,300 Block of POTRERO AV,-122.407406866036,37.7651269832499
2003-10-14 17:15:00,OTHER OFFENSES,TRAFFIC VIOLATION,Tuesday,SOUTHERN,"ARREST, CITED",6TH ST / HOWARD ST,-122.407163046962,37.7797376338762
2008-05-01 08:00:00,FORGERY/COUNTERFEITING,"FORGERY, DRIVERS LICENSE OR ID-CARD",Thursday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403404791479,37.775420706711
2008-04-18 09:47:00,WARRANTS,WARRANT ARREST,Friday,NORTHERN,"ARREST, BOOKED",1500 Block of VANNESS AV,-122.422404422276,37.789876481740606
2005-07-01 12:00:00,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Friday,INGLESIDE,NONE,1700 Block of CAYUGA AV,-122.44836080101,37.7149956068361
2006-02-23 16:07:00,LARCENY/THEFT,GRAND THEFT SHOPLIFTING,Thursday,CENTRAL,NONE,100 Block of POST ST,-122.404793641916,37.788804548889
2007-06-15 16:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Friday,PARK,NONE,0 Block of WALTER ST,-122.43231121365,37.76837670916829
2012-05-29 17:30:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Tuesday,SOUTHERN,NONE,100 Block of 6TH ST,-122.407975093043,37.7803099082814
2008-05-17 17:50:00,OTHER OFFENSES,TRAFFIC VIOLATION,Saturday,MISSION,"ARREST, CITED",BALMY ST / 24TH ST,-122.412465422393,37.7526001102279
2015-01-20 22:21:00,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Tuesday,SOUTHERN,NONE,200 Block of FOLSOM ST,-122.392347671978,37.7890603555993
2014-11-01 13:00:00,MISSING PERSON,FOUND PERSON,Saturday,CENTRAL,NONE,700 Block of PACIFIC AV,-122.408014703843,37.796699717573
2003-10-30 23:46:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Thursday,NORTHERN,NONE,LARKIN ST / OFARRELL ST,-122.417903977571,37.7851670875288
2006-07-12 15:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Wednesday,INGLESIDE,NONE,0 Block of CHENERY ST,-122.425624488895,37.7409495166569
2008-08-24 01:30:00,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Sunday,SOUTHERN,NONE,1300 Block of MISSION ST,-122.41525748686,37.775709588478605
2006-02-23 17:00:00,BURGLARY,"BURGLARY,BLDG. UNDER CONSTRUCTION, FORCIBLE ENTRY",Thursday,CENTRAL,NONE,300 Block of THE EMBARCADERONORTH ST,-122.396374439116,37.79805325280579
2003-10-14 20:51:00,OTHER OFFENSES,VIOLATION OF MUNICIPAL CODE,Tuesday,SOUTHERN,"ARREST, CITED",0 Block of CLEMENTINA ST,-122.396187248007,37.786866145045096
2007-08-11 10:15:00,OTHER OFFENSES,TRAFFIC VIOLATION,Saturday,NORTHERN,"ARREST, CITED",1100 Block of FILLMORE ST,-122.432116233695,37.7800304351156
2010-10-19 19:10:00,DRUG/NARCOTIC,SALE OF MARIJUANA,Tuesday,TENDERLOIN,"ARREST, BOOKED",0 Block of JONES ST,-122.412054141237,37.7816136403158
2009-08-09 00:25:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Sunday,PARK,PSYCHOPATHIC CASE,200 Block of DELLBROOK AV,-122.453087966399,37.7503148137066
2008-10-04 15:00:00,FRAUD,"CREDIT CARD, THEFT BY USE OF",Saturday,NORTHERN,NONE,GROVE ST / POLK ST,-122.418229899721,37.7784895366813
2005-02-25 16:00:00,NON-CRIMINAL,LOST PROPERTY,Friday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403404791479,37.775420706711
2011-07-27 11:50:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,NORTHERN,NONE,POST ST / BUCHANAN ST,-122.429792899837,37.7855609320034
2004-06-11 00:58:00,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Friday,SOUTHERN,"ARREST, BOOKED",400 Block of 7TH ST,-122.405118197249,37.7746534767072
2003-12-12 11:30:00,ASSAULT,THREATS AGAINST LIFE,Friday,NORTHERN,"ARREST, BOOKED",300 Block of PAGE ST,-122.426555668987,37.77361306163871
2014-10-14 15:42:00,WARRANTS,WARRANT ARREST,Tuesday,INGLESIDE,"ARREST, BOOKED",MISSION ST / EXCELSIOR AV,-122.433623421746,37.72623583047221
2004-05-26 12:15:00,ASSAULT,INFLICT INJURY ON COHABITEE,Wednesday,BAYVIEW,NONE,1700 Block of QUESADA AV,-122.392235600843,37.73391777552271
2010-01-26 00:01:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Tuesday,PARK,NONE,300 Block of DIVISADERO ST,-122.437446773425,37.7726629315652
2004-10-15 23:52:00,ROBBERY,ROBBERY ON THE STREET WITH A GUN,Friday,RICHMOND,NONE,BAKER ST / PACIFIC AV,-122.444656546499,37.7920878795324
2013-10-04 01:00:00,NON-CRIMINAL,LOST PROPERTY,Friday,CENTRAL,NONE,900 Block of POST ST,-122.416825199786,37.787277154617
2006-01-24 12:25:00,ROBBERY,ATTEMPTED ROBBERY WITH BODILY FORCE,Tuesday,CENTRAL,DISTRICT ATTORNEY REFUSES TO PROSECUTE,STOCKTON ST / SACRAMENTO ST,-122.407729769991,37.79317730258371
2009-09-18 22:30:00,MISSING PERSON,MISSING ADULT,Friday,BAYVIEW,LOCATED,0 Block of OSCEOLA LN,-122.383085144615,37.7317523387371
2003-02-09 18:00:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Sunday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403404791479,37.775420706711
2004-08-03 23:59:00,ROBBERY,ATTEMPTED ROBBERY ON THE STREET WITH BODILY FORCE,Tuesday,SOUTHERN,NONE,MARKET ST / VAN NESS AV,-122.419257894821,37.775146291631
2012-10-16 17:41:00,DRUG/NARCOTIC,PLANTING/CULTIVATING MARIJUANA,Tuesday,TARAVAL,"ARREST, BOOKED",200 Block of MONTANA ST,-122.461424508784,37.716636765559
2009-02-06 20:57:00,LARCENY/THEFT,PETTY THEFT WITH PRIOR,Friday,SOUTHERN,"ARREST, BOOKED",300 Block of 4TH ST,-122.399833846531,37.781043217933394
2005-05-16 16:38:00,ASSAULT,BATTERY,Monday,TARAVAL,"ARREST, BOOKED",100 Block of BUCKINGHAM WY,-122.478884586609,37.7258438313416
2004-11-26 00:01:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Friday,NORTHERN,NONE,FULTON ST / STEINER ST,-122.433220475272,37.77748926523979
2008-09-15 21:14:00,OTHER OFFENSES,RESISTING ARREST,Monday,INGLESIDE,"ARREST, BOOKED",POPE ST / CROSS ST,-122.44115614407,37.7139319553323
2008-10-13 16:38:00,NON-CRIMINAL,FIRE REPORT,Monday,TARAVAL,NONE,1400 Block of 12TH AV,-122.469395337774,37.761081466540105
2011-09-23 12:00:00,EMBEZZLEMENT,"EMBEZZLEMENT, GRAND THEFT BY EMPLOYEE",Friday,NORTHERN,NONE,3100 Block of FILLMORE ST,-122.435889235002,37.7987183534813
2005-08-08 10:00:00,NON-CRIMINAL,LOST PROPERTY,Monday,CENTRAL,NONE,900 Block of SUTTER ST,-122.416032976503,37.78833512481809
2004-09-29 21:00:00,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Wednesday,NORTHERN,NONE,FRANCISCO ST / LAGUNA ST,-122.431500457046,37.8023742989195
2009-03-20 22:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Friday,MISSION,NONE,0 Block of LEXINGTON ST,-122.420925650105,37.7621818237088
2004-04-01 12:45:00,NON-CRIMINAL,FOUND PROPERTY,Thursday,PARK,NONE,HAIGHT ST / STANYAN ST,-122.453534560634,37.76916629781029
2003-10-17 14:55:00,ASSAULT,AGGRAVATED ASSAULT WITH A GUN,Friday,INGLESIDE,NONE,0 Block of ADDISON ST,-122.432398313711,37.7378218134824
2011-11-17 19:07:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Thursday,MISSION,NONE,1300 Block of FLORIDA ST,-122.409905594619,37.7503251821179
2004-06-13 15:15:00,NON-CRIMINAL,LOST PROPERTY,Sunday,CENTRAL,NONE,1600 Block of THE EMBARCADERO NORTH ST,-122.410774214399,37.8084350184877
2011-03-11 12:00:00,FRAUD,"CREDIT CARD, THEFT BY USE OF",Friday,INGLESIDE,NONE,600 Block of EDNA ST,-122.447225190992,37.7319481139637
2015-01-07 13:30:00,ASSAULT,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP",Wednesday,TENDERLOIN,NONE,0 Block of TURK ST,-122.409853729941,37.7833862379382
2012-11-02 19:46:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,PARK,"ARREST, BOOKED",1800 Block of WALLER ST,-122.454330105396,37.7681530111159
2010-01-14 17:00:00,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Thursday,CENTRAL,NONE,800 Block of CHESTNUT ST,-122.417357825425,37.80329385463529
2004-10-16 23:30:00,SUSPICIOUS OCC,SUSPICIOUS PERSON,Saturday,TENDERLOIN,NONE,300 Block of OFARRELL ST,-122.410509258795,37.786043222299206
2012-05-04 11:00:00,OTHER OFFENSES,FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY,Friday,SOUTHERN,NONE,0 Block of 7TH ST,-122.411468903052,37.7795579712601
2007-12-26 16:00:00,BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Wednesday,RICHMOND,NONE,3200 Block of JACKSON ST,-122.448372695999,37.79076773941461
2014-10-31 14:00:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Friday,NORTHERN,NONE,1300 Block of WEBSTER ST,-122.431046366089,37.7830295716044
2012-02-24 00:01:00,NON-CRIMINAL,LOST PROPERTY,Friday,RICHMOND,NONE,GEARY BL / 3RD AV,-122.461062711176,37.7811580519204
2003-05-02 08:00:00,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Friday,CENTRAL,"ARREST, BOOKED",600 Block of HYDE ST,-122.416614060876,37.786777956045
2007-05-17 11:09:00,OTHER OFFENSES,TRAFFIC VIOLATION,Thursday,INGLESIDE,"ARREST, CITED",CRESCENT AV / FOLSOM ST,-122.413689986582,37.7347306984732
2013-10-06 00:52:00,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,CENTRAL,"ARREST, BOOKED",1100 Block of GRANT AV,-122.406954465276,37.7971765677058
2010-11-29 18:27:00,BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Monday,BAYVIEW,"ARREST, BOOKED",400 Block of BAY SHORE BL,-122.406844256277,37.7394012528109
2010-03-25 10:55:00,ASSAULT,FALSE IMPRISONMENT,Thursday,CENTRAL,"ARREST, BOOKED",700 Block of WASHINGTON ST,-122.406249619336,37.795117116509
2005-05-16 15:15:00,ASSAULT,THREATS AGAINST LIFE,Monday,NORTHERN,NONE,1700 Block of OCTAVIA ST,-122.426845490414,37.78810429005279
2007-05-02 11:35:00,LARCENY/THEFT,GRAND THEFT PURSESNATCH,Wednesday,INGLESIDE,"ARREST, BOOKED",MISSION ST / MOUNT VERNON AV,-122.4425652636,37.7146613908372
2008-01-23 09:57:00,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Wednesday,RICHMOND,NONE,2300 Block of GOLDEN GATE AV,-122.449116002905,37.777321600666106
2011-02-25 10:00:00,MISSING PERSON,MISSING ADULT,Friday,TARAVAL,NONE,1200 Block of LA PLAYA ST,-122.509265276857,37.7630727687234
2014-03-06 22:30:00,BURGLARY,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",Thursday,RICHMOND,NONE,3500 Block of SACRAMENTO ST,-122.451129067631,37.7876027559274
2009-06-23 17:15:00,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Tuesday,INGLESIDE,NONE,SANTOS ST / VELASCO AV,-122.419348416119,37.7099491573125
2015-05-02 05:45:00,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Saturday,TARAVAL,"ARREST, BOOKED",400 Block of JOHNMUIR DR,-122.491949364794,37.7144179707516
2009-01-22 12:50:00,LARCENY/THEFT,GRAND THEFT SHOPLIFTING,Thursday,SOUTHERN,"ARREST, BOOKED",800 Block of MARKET ST,-122.406520987144,37.7850629421661
2009-01-25 01:24:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Sunday,MISSION,"ARREST, CITED",SOUTH VAN NESS AV / 15TH ST,-122.417647884705,37.7668053842905
2013-01-10 11:25:00,SECONDARY CODES,GANG ACTIVITY,Thursday,SOUTHERN,"ARREST, CITED",800 Block of BRYANT ST,-122.403404791479,37.775420706711
2006-10-05 18:00:00,FRAUD,"CREDIT CARD, THEFT BY USE OF",Thursday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403404791479,37.775420706711
2013-01-24 12:23:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,SOUTHERN,"ARREST, CITED",MASON ST / TURK ST,-122.408953598279,37.783287873572
2011-12-29 17:00:00,BURGLARY,"BURGLARY OF RESIDENCE, ATTEMPTED FORCIBLE ENTRY",Thursday,PARK,NONE,4500 Block of 17TH ST,-122.445851915607,37.76190320872529
2007-01-28 13:15:00,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Sunday,CENTRAL,NONE,600 Block of HYDE ST,-122.416614060876,37.786777956045
2006-02-20 11:20:00,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Monday,SOUTHERN,"ARREST, BOOKED",200 Block of INTERSTATE80 HY,-122.365565425353,37.8096707013239
2013-01-21 12:10:00,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Monday,NORTHERN,"ARREST, CITED",EDDY ST / VANNESS AV,-122.420818330445,37.7828946450912
2007-04-19 00:57:00,OTHER OFFENSES,PROBATION VIOLATION,Thursday,SOUTHERN,"ARREST, CITED",GOLDEN GATE AV / TAYLOR ST,-122.41029351969,37.7822305870036
2008-02-20 10:05:00,BURGLARY,"BURGLARY OF FLAT, FORCIBLE ENTRY",Wednesday,NORTHERN,NONE,300 Block of FRANKLIN ST,-122.421446588908,37.777316514741294
2014-01-09 09:35:00,DRUG/NARCOTIC,LOITERING WHERE NARCOTICS ARE SOLD/USED,Thursday,TENDERLOIN,NONE,HYDE ST / FULTON ST,-122.415127837608,37.7797870676495
2010-01-12 11:48:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Tuesday,TENDERLOIN,"ARREST, CITED",0 Block of MASON ST,-122.409129633669,37.7838066631424
2010-08-15 16:00:00,LARCENY/THEFT,GRAND THEFT PICKPOCKET,Sunday,RICHMOND,NONE,500 Block of JOHNFKENNEDY DR,-122.466204667893,37.7725405391593
2014-01-23 16:30:00,ASSAULT,CHILD ABUSE (PHYSICAL),Thursday,NORTHERN,NONE,100 Block of LILY ST,-122.423218630168,37.7745160228957
2004-08-20 11:30:00,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Friday,CENTRAL,NONE,1100 Block of FILBERT ST,-122.418414919778,37.8001811328442
2010-06-01 09:00:00,LARCENY/THEFT,THEFT FROM MERCHANT OR LIBRARY,Tuesday,MISSION,NONE,2800 Block of MISSION ST,-122.418434028318,37.7514199300011
2008-11-01 22:18:00,DRIVING UNDER THE INFLUENCE,DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL,Saturday,NORTHERN,NONE,POLK ST / HAYES ST,-122.418045452768,37.7775118895695
2009-11-12 16:00:00,MISSING PERSON,MISSING JUVENILE,Thursday,BAYVIEW,NONE,2000 Block of PALOU AV,-122.399370590026,37.7387108274334
